date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:36	12155/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:35%20GMT	https://cognito.co.nz/manual/moneyworks_accounts_account_categories.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_accounts_account_categories.html	(from https://cognito.co.nz/manual/)
20:30:40	11265/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:39%20GMT	https://cognito.co.nz/manual/moneyworks_accounts_company_details.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_accounts_company_details.html	(from https://cognito.co.nz/manual/)
20:30:42	8799/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:42%20GMT	https://cognito.co.nz/manual/moneyworks_navigator_the_navigator.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_navigator_the_navigator.html	(from https://cognito.co.nz/manual/)
20:30:45	8422/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:44%20GMT	https://cognito.co.nz/manual/moneyworks_navigator_navigator_overview.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_navigator_navigator_overview.html	(from https://cognito.co.nz/manual/)
20:30:48	11546/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:47%20GMT	https://cognito.co.nz/manual/moneyworks_navigator_the_calendar.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_navigator_the_calendar.html	(from https://cognito.co.nz/manual/)
20:30:51	9999/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:50%20GMT	https://cognito.co.nz/manual/moneyworks_navigator_using_the_navigator.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_navigator_using_the_navigator.html	(from https://cognito.co.nz/manual/)
20:30:53	8612/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:53%20GMT	https://cognito.co.nz/manual/moneyworks_windows_entry_windows__data_validation_and_sticky_notes.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_windows_entry_windows__data_validation_and_sticky_notes.html	(from https://cognito.co.nz/manual/)
20:30:55	9822/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:54%20GMT	https://cognito.co.nz/manual/moneyworks_windows_entry_and_validation_where_a_code_is_required.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_windows_entry_and_validation_where_a_code_is_required.html	(from https://cognito.co.nz/manual/)
20:30:58	9506/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:57%20GMT	https://cognito.co.nz/manual/moneyworks_windows_creating_a_record_.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_windows_creating_a_record_.html	(from https://cognito.co.nz/manual/)
20:31:01	10861/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:00%20GMT	https://cognito.co.nz/manual/moneyworks_windows_custom_validation_lists.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_windows_custom_validation_lists.html	(from https://cognito.co.nz/manual/)
20:31:04	12182/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:03%20GMT	https://cognito.co.nz/manual/moneyworks_windows_sticky_notes.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_windows_sticky_notes.html	(from https://cognito.co.nz/manual/)
20:31:09	14420/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:07%20GMT	https://cognito.co.nz/manual/moneyworks_lists_working_with_lists.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_lists_working_with_lists.html	(from https://cognito.co.nz/manual/)
20:31:12	10508/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:11%20GMT	https://cognito.co.nz/manual/moneyworks_lists_the_toolbar.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_lists_the_toolbar.html	(from https://cognito.co.nz/manual/)
20:31:14	12591/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:13%20GMT	https://cognito.co.nz/manual/moneyworks_lists_selecting_records_in_a_list.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_lists_selecting_records_in_a_list.html	(from https://cognito.co.nz/manual/)
20:31:16	8270/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:15%20GMT	https://cognito.co.nz/manual/moneyworks_lists_manipulating_records_in_a_list.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_lists_manipulating_records_in_a_list.html	(from https://cognito.co.nz/manual/)
